"Description","Frequency (%)"
"Simple pass","1,207,447 (77.1%)"
"High pass","123,214 (7.87%)"
"Head pass","91,194 (5.83%)"
"Cross","58,634 (3.75%)"
"Launch","43,303 (2.77%)"
"Smart pass","28,428 (1.82%)"
"Hand pass","13,135 (0.839%)"
"**Total**","1,565,355 (100.%)"
