"Player","Team","MXG","Goals","Loops","Degree"
"A. Budimir","Crotone",4.64465688898372,6,238,1150
"D. Didavi","Wolfsburg",4.61108011897988,9,223,1600
"S. Wagner","Hoffenheim",4.57012201772091,4,86,596
"A. Matri","Sassuolo",4.50239329391206,3,83,558
"N. Basin","Metz",4.49383315960813,1,16,206
"L. Bailey","Bayer Leverkusen",4.47047461550608,10,327,1811
"Y. Sankharé","Bordeaux",4.43647352890389,7,161,1364
"Raúl García","Athletic Club",4.41924289032556,10,290,1910
"A. Ayew","West Ham United",4.40193232333672,3,75,524
"Á. di María","PSG",4.39323423756196,11,219,1825
"S. Guirassy","Köln",4.38921071526909,4,358,991
"J. Brekalo","Wolfsburg",4.37595177215212,3,116,587
"Suk Hyun-Jun","Troyes",4.35042253475854,6,730,1705
"J. Obi","Torino",4.34535871946537,5,118,997
"W. Rooney","Everton",4.34001950520963,10,215,1862
"F. Kamano","Bordeaux",4.32296362897182,8,548,1807
"Dani Molina","Celta de Vigo",4.30917358909801,0,0,2
"L. Vietto","Valencia",4.25155621873216,2,67,365
"L. Rizzo","SPAL",4.20315387152789,2,72,398
"Lucas Pérez","Deportivo La Coruña",4.13791706228585,8,236,1770
"Y. Muto","Mainz 05",4.12728625130853,8,867,1941
"Y. Sanogo","Toulouse",4.10560657414612,6,436,1434
"M. Politano","Sassuolo",4.04049377922661,10,432,2105
"M. Fellaini","Manchester United",4.02831115900949,4,83,778
"A. Niane","Troyes",3.99468552255848,8,653,2107
"G. Pazzini","Levante",3.97754380639356,1,37,188
"K. Coulibaly","Nantes",3.94075735089427,1,63,249
"José Luis Morales","Levante",3.93790426482713,10,455,2016
"E. Giaccherini","Chievo",3.92828078633045,3,91,660
"T. Walcott","Everton",3.9216966356131,3,129,713
"L. Muriel","Sevilla",3.91974674454423,7,444,1594
"M. Trotta","Crotone",3.91951979316389,7,261,1480
"J. Briand","Guingamp",3.91010415307176,11,327,2070
"S. Floccari","SPAL",3.88197044104231,3,123,620
"S. Verdi","Bologna",3.86335040832364,10,392,2215
"Kike García","Eibar",3.83229080591013,8,335,1757
"Daniel Bessa","Genoa",3.81247772698646,2,242,629
"F. Niederlechner","Freiburg",3.78733327889506,2,71,375
"Borja Mayoral","Real Madrid",3.75991466891901,3,256,668
"W. Bony","Swansea City",3.75422930166553,2,99,486
"M. Destro","Bologna",3.72327032578198,6,819,1864
